formats,fonction,nom,statut,parent,wikidata_entity,secteur,licence,referent,composant,mots-clefs,cas-usage,utilisateurs,groupe,version
,Automatisation des tests Web,Selenium IDE,R,,,Conception & Développement,,,Test & Intégration,,,,MIMDEV,3.4
,Automatisation des tests,Squash TA,R,,,Conception & Développement,,,Test & Intégration,,,,MIMDEV,1.11
,Gestion des campagnes de tests,Testlink,R,,,Conception & Développement,,,Test & Intégration,,,,MIMDEV,1.9.14
,Gestion des campagnes de tests,Squash TM,R,,,Conception & Développement,,,Test & Intégration,,,,MIMDEV,1.17.1
,Génération / Gestion des jeux de données,Jailer,R,,,Conception & Développement,,,Test & Intégration,,,,MIMDEV,8.2.x
,Navigateurs,Chromium,R,,Q48524,Conception & Développement,BSD-3-Clause,,Test & Intégration,,poste développeur,,MIMDEV,Dernière disponible
,Base de données,H2,R,,,Conception & Développement,,,Test & Intégration,,poste développeur,,MIMDEV,1.4.197
,Outil de monitoring,Javamelody,R,,,Conception & Développement,Apache-2.0,,Test & Intégration,,,,MIMDEV,1.74.0
,Reprise des données,Talend Open Studio for Data Integration (BASIC),R,,,Conception & Développement,,,Test & Intégration,,Outil d'automatisation de la reprise de données,,MIMDEV,7.0.1
,Portail de gestion de projet,Redmine,R,,Q1149365,Orchestration & logique métier,,,Outil collaboratif,,,,MIMDEV,3.X
,Plateforme de développement,GitLab Community Edition,R,,Q16639197,Orchestration & logique métier,,,Outil collaboratif,,,,MIMDEV,11.X
,Environnement de développement,Spring Boot,O,,,Conception & Développement,Apache-2.0,,Aide au développement,,,,MIMDEV,2.X
,Environnement de développement,IS Designer,O,,,Conception & Développement,,,Modeleur,,,,MIMDEV,1.9.0
,Outil de gestion des dépendances,Yarn,O,,Q28975591,Conception & Développement,BSD-2-Clause,,"Installation, Packaging, Diffusion et Distribution",,,,MIMDEV,1.12.3
,Vérification de la conformité de l'application aux règles d'accessibilité,Asqatasun,O,,Q24026504,Conception & Développement,AGPL-3.0,,Qualité et sécurité du code source,,,,MIMDEV,Docker
,Vérification de la conformité de l'application aux règles d'accessibilité,Tanaguru,O,,,Conception & Développement,,,Qualité et sécurité du code source,,,,MIMDEV,5.0.3
,Vérification de la conformité de l'application aux règles d'accessibilité,Assistant RGAA,O,,,Conception & Développement,,,Qualité et sécurité du code source,,poste de travail des agents impliqués dans le cycle de vie d’une application utilisée via un navigateur web,,MIMDEV,1.0.4
,Outil d'anonymisation des données,ARX Data Anonymization Tool,O,,,Conception & Développement,,,Test & Intégration,,,,MIMDEV,3.7.1
,Framework de tests backend,CodeceptJS,O,,,Conception & Développement,MIT,,Test & Intégration,,,,MIMDEV,2.0.4
,Outil de maquettage IHM (statique et/ou dynamique),Pencil,FR,,,Conception & Développement,,,"Outils d’analyse, de Modélisation et de gestion de Patrimoine",,,,MIMDEV,3
,Outil d'injection afin tester les couches basses,Fitnesse,FR,,,Conception & Développement,,,Test & Intégration,,,,MIMDEV,20161106
,Outil d'injection afin tester les couches basses,DbFit,FR,,,Conception & Développement,,,Test & Intégration,,,,MIMDEV,3.2.0
,Forum,PHPBB,FR,,Q14270,Orchestration & logique métier,,,Outil collaboratif,,Utilisé au sein d'une forge.,,MIMDEV,3.0.9
KDBX,Gestion de mots de passe,KeePass,R,,Q762660,Sécurité,GPL-2.0-only,,Authentification,,,,MIMO,2.3
ODF 1.2,Suite bureautique,LibreOffice,R,,Q10135,Espace utilisateur et canal,MPL-2.0,,Consultation et édition de documents,,,,MIMO,6.1
s.o.,Diffusion multiformat,MultiDiff,R,LibreOffice,,Espace utilisateur et canal,LGPL-2.0-only.1,,Consultation et édition de documents,,,,MIMO,1.3.0
s.o.,Cartes géographie,Ooo.HG,R,LibreOffice,,Espace utilisateur et canal,Creative Commons,,Consultation et édition de documents,,,,MIMO,9.12
s.o.,Correction grammaticale,Grammalecte,R,LibreOffice,,Espace utilisateur et canal,GPL-3.0-only,,Consultation et édition de documents,,,,MIMO,0.6.5
odg,Galerie d’images,VRT network equipment,R,LibreOffice,,Espace utilisateur et canal,CC-BY-SA-4.0,,Consultation et édition de documents,,diagrammes informatiques,,MIMO,1.2
s.o.,Orientation de la page,PortraitOrLandscape,R,LibreOffice,,Espace utilisateur et canal,LGPL-3.0-only,,Consultation et édition de documents,,,,MIMO,2
s.o.,Correction anglicismes,FranceTerme,R,,,Espace utilisateur et canal,CECILL-C,,Consultation et édition de documents,,,,MIMO,
TXT,Éditeur de textes,Notepad++,R,,,Espace utilisateur et canal,GPL-2.0-only,,Consultation et édition de documents,,,,MIMO,7.5.8
PDF,Lecture simple de fichier PDF,SumatraPDF,R,,,Espace utilisateur et canal,GPL-3.0-only,,Consultation et édition de documents,,sans remplissage de formulaire ni vérification de signature,,MIMO,3.1.2
HTML,Éditeur HTML,BlueGriffon,R,,Q885580,Espace utilisateur et canal,"LGPL-3.0-only, GPL-3.0-only, MPL-2.0",,Consultation et édition de documents,,,,MIMO,3.0
,Système d’information géographique,Qgis,R,,Q1329181,Orchestration et logique métier,GPL-2.0-only,,Moteur SIG,,,,MIMO,3.4
SLA,PAO,Scribus,R,,Q8295,Espace utilisateur et canal,GPL-2.0-only,,Consultation et édition de documents,,,,MIMO,1.5
s.o.,Lecteur multimédia,VLC,R,,Q171477,Espace utilisateur et canal,GPL-2.0-only,,Consultation et édition de documents,,Lecteur Multimédia,,MIMO,3.0.6
,Enregistrement et édition de sons,Audacity,R,,Q191782,Espace utilisateur et canal,GPL-2.0-only,,Consultation et édition de documents,,Enregistrement et édition de sons,,MIMO,2.1
XCF,Dessin (matriciel),Gimp,R,,Q8038,Espace utilisateur et canal,GPL-3.0-only,,Consultation et édition de documents,,,,MIMO,2.10.8
ODF,,OpenDocument Reader,R,,,Espace utilisateur et canal,GPL,,Consultation et édition de documents,,,,MIMO,
PDF,,MuPDF,R,,Q6930567,Espace utilisateur et canal,AGPL-3.0,,Consultation et édition de documents,,,,MIMO,
s.o.,Courrielleur,Thunderbird,R,,Q483604,Espace utilisateur et canal,MPL-2.0,,Messagerie agenda contacts,,Courrielleur,,MIMO,60
,Webconférence,Jitsi,R,,Q58427,Espace utilisateur et canal,Apache-2.0,,Visiophonie,,,,MIMO,2.9
s.o.,Client FTP,Filezilla,R,,Q300662,Données et contenu,GPL-2.0,,Gestion des accès aux données,,Client FTP,,MIMO,3.40
HTML,Navigateur,Mozilla Firefox,R,,Q698,Espace utilisateur et canal,MPL-2.0,,Navigateur web,,Navigateur,,MIMO,ESR 60
,Recherche,Qwant,R,Firefox,,Espace utilisateur et canal,X11,,Navigateur web,,,,MIMO,5
